contract_id,contract_reg_type_id,contract_reg_type_en,contract_start_date,contract_end_date,contract_amount,annual_amount,no_of_prop,line_number,is_free_hold,ejari_bus_property_type_id,ejari_bus_property_type_en,ejari_property_type_id,ejari_property_type_en,ejari_property_sub_type_id,ejari_property_sub_type_en,property_usage_en,project_number,project_name_en,master_project_en,area_id,area_name_en,actual_area,nearest_landmark_en,nearest_metro_en,nearest_mall_en,tenant_type_id,tenant_type_en
CRT841716626,1,New,28-02-2016,27-02-2017,66000,66000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,1735.0,BADRA PHASE 1,Badra,522,Hessyan First,138.0,Dubai Parks and Resorts,UAE Exchange Metro Station,,1.0,Person
CNT708344015,1,New,07-07-2017,06-07-2018,100000,100000,1,1,0,2,Unit,842.0,Flat,3.0,3 bed rooms+hall,Residential,,,,341,Trade Center First,143.0,Burj Khalifa,Emirates Towers Metro Station,Dubai Mall,1.0,Person
CNT2080630204,1,New,20-03-2023,19-03-2024,1647000,1647000,122,56,0,2,Unit,4.0,Labor Camps,12.0,Room in labor Camp,Residential,,,,395,Jabal Ali Industrial First,14.0,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,2.0,Authority
CNT1929729867,2,Renew,01-09-2022,31-08-2023,78000,78000,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,Al Furjan,445,Jabal Ali First,145.0,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1.0,Person
CNT384946997,2,Renew,01-01-2016,31-12-2016,55000,55000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,267,Al Raffa,91.0,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,1.0,Person
CNT893970519,1,New,18-11-2018,17-11-2019,37000,37000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,362,Naif,44.0,Dubai International Airport,Baniyas Square Metro Station,Dubai Mall,2.0,Authority
CNT1375574183,1,New,28-01-2021,26-02-2022,36000,36000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,The Gardens,445,Jabal Ali First,74.0,Sports City Swimming Academy,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1.0,Person
CNT1040065856,2,Renew,03-06-2019,02-06-2020,48500,48500,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,301,Al Nahda Second,333.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
CNT2088484095,1,New,07-08-2023,06-09-2024,92000,92000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,255,Rega Al Buteen,127.0,Dubai International Airport,Union Metro Station,Dubai Mall,2.0,Authority
CNT2069117708,2,Renew,01-02-2023,31-01-2024,130000,130000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,1747.0,5242,Dubai Marina,330,Marsa Dubai,106.0,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,1.0,Person
CNT1172910904,1,New,01-02-2020,31-01-2021,62000,62000,1,1,0,2,Unit,842.0,Flat,3.0,3 bed rooms+hall,Residential,,,,301,Al Nahda Second,121.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
CNT1949159425,2,Renew,20-06-2022,19-09-2022,13107,52428,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,Arjan,409,Al Barshaa South Third,93.0,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1.0,Person
CRT2025027927,2,Renew,01-01-2023,31-12-2023,32000,32000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,10.0,LA VISITA 01,Silicon Oasis,484,Nadd Hessa,77.0,IMG World Adventures,,,1.0,Person
CNT2083501903,2,Renew,01-01-2023,31-12-2023,20000,20000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,339,Al Mararr,30.0,Dubai International Airport,Baniyas Square Metro Station,Dubai Mall,2.0,Authority
CNT1204240677,1,New,19-04-2020,18-04-2021,70000,70000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,355,Al Nahda First,148.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
CRT2080288886,1,New,12-04-2023,11-04-2024,70000,70000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,Dubai Marina,330,Marsa Dubai,71.0,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,1.0,Person
CRT320284086,1,New,01-06-2015,31-05-2016,35000,35000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,362,Naif,,Dubai International Airport,Salah Al Din Metro Station,Dubai Mall,2.0,Authority
CNT1955502592,2,Renew,01-07-2021,30-06-2022,20000,20000,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,416,Cornich Deira,2.0,Dubai International Airport,Salah Al Din Metro Station,,2.0,Authority
CNT2088131860,1,New,01-08-2023,31-07-2024,75000,75000,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,Arjan,409,Al Barshaa South Third,124.0,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1.0,Person
CNT1320404060,2,Renew,05-08-2020,04-08-2021,26000,26000,1,1,0,2,Unit,842.0,Flat,11.0,Studio,Residential,,,,235,Eyal Nasser,21.0,Dubai International Airport,Palm Deira Metro Stations,Dubai Mall,1.0,Person
CRT308494156,1,New,01-01-2015,31-12-2016,42000,21000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,367,Al Suq Al Kabeer,130.0,Dubai International Airport,Al Ras Metro Station,Dubai Mall,2.0,Authority
CNT2072424526,2,Renew,10-02-2023,09-02-2024,26450,26450,1,1,1,2,Unit,842.0,Flat,11.0,Studio,Residential,328.0,ELITE SPORTS RESIDENCE,Dubai Sports City,435,Al Hebiah Fourth,42.0,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1.0,Person
CNT2018590875,2,Renew,03-10-2022,02-10-2023,92000,92000,1,1,1,2,Unit,2.0,Office,422.0,Office,Commercial,,,TECOM Site C,443,Al Thanyah First,133.0,Burj Al Arab,Dubai Internet City,Mall of the Emirates,2.0,Authority
CNT1108641435,1,New,24-10-2019,31-12-2020,90323,80000,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,367,Al Suq Al Kabeer,20.0,Dubai International Airport,Al Ras Metro Station,Dubai Mall,2.0,Authority
CNT137987516,2,Renew,25-06-2013,24-06-2014,27000,27000,1,1,0,2,Unit,985.0,Staff Accommodation,985.0,Staff Accommodatoion,Residential,,,,339,Al Mararr,14.0,Dubai International Airport,Palm Deira Metro Stations,Dubai Mall,2.0,Authority
CNT1585115922,1,New,01-09-2021,31-08-2022,756000,756000,35,12,0,2,Unit,4.0,Labor Camps,12.0,Room in labor Camp,Residential,,,,347,Al Goze Third,113.0,Downtown Dubai,Noor Bank Metro Station,Dubai Mall,2.0,Authority
CNT185367557,1,New,01-01-2014,31-12-2014,75000,75000,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,233,Hor Al Anz,26.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,City Centre Mirdif,1.0,Person
CNT1227678673,2,Renew,01-02-2020,28-02-2021,100000,92308,1,1,0,2,Unit,7.0,Warehouse,13.0,Warehouse,Commercial,,,,247,Al Khabeesi,245.0,Dubai International Airport,Abu Baker Al Siddique Metro Station,City Centre Mirdif,2.0,Authority
CNT388321481,2,Renew,01-01-2016,31-12-2016,52000,52000,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,269,Al Hamriya,1.0,Dubai International Airport,Burjuman Metro Station,Dubai Mall,1.0,Person
CNT2080368060,2,Renew,18-04-2023,17-04-2024,33000,33000,1,1,1,2,Unit,842.0,Flat,11.0,Studio,Residential,,,Jumeirah Village Circle,441,Al Barsha South Fourth,37.0,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1.0,Person
CNT314252960,2,Renew,10-05-2015,09-05-2016,60000,60000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,305,Al Qusais First,102.0,Dubai International Airport,Airport Free Zone,City Centre Mirdif,1.0,Person
CNT167821690,2,Renew,05-07-2013,04-07-2014,280584,280584,3,3,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,378,Al Garhoud,1508.0,Dubai International Airport,GGICO Metro Station,City Centre Mirdif,2.0,Authority
CNT1874791368,1,New,01-04-2022,31-03-2023,55000,55000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,267,Al Raffa,40.0,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,2.0,Authority
CNT394635082,2,Renew,15-01-2016,14-01-2017,66000,66000,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,249,Al Muteena,76.0,Dubai International Airport,Salah Al Din Metro Station,Dubai Mall,2.0,Authority
CNT2081306894,2,Renew,05-04-2023,04-04-2024,29000,29000,1,1,1,2,Unit,842.0,Flat,11.0,Studio,Residential,,,Dubai Investment Park First,458,Dubai Investment Park First,40.0,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,2.0,Authority
CNT1529913388,1,New,01-08-2021,31-08-2022,65000,65000,1,1,0,4,Villa,841.0,Villa,3.0,3 bed rooms+hall,Residential,,,,232,Mirdif,123.0,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1.0,Person
CRT1402443046,1,New,28-02-2021,27-02-2022,65000,65000,1,1,1,4,Villa,841.0,Villa,1.0,1bed room+Hall,Residential,,,Jumeirah Village Circle,441,Al Barsha South Fourth,180.0,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1.0,Person
CNT757223738,2,Renew,07-02-2018,06-02-2019,54000,54000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,The Gardens,445,Jabal Ali First,66.0,Sports City Swimming Academy,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1.0,Person
CNT1137866902,1,New,02-01-2020,01-01-2021,25000,25000,1,1,0,2,Unit,842.0,Flat,11.0,Studio,Residential,,,,297,Al Warqa First,1.0,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1.0,Person
CNT757910771,1,New,01-03-2018,28-02-2019,60000,60000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,242,Al Ras,47.0,Dubai International Airport,Al Ras Metro Station,Dubai Mall,2.0,Authority
CNT2083468237,1,New,01-05-2023,30-04-2024,250000,250000,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,255,Rega Al Buteen,583.0,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,2.0,Authority
CNT1409334730,1,New,15-03-2021,14-03-2022,86800,86800,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,301,Al Nahda Second,40.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,2.0,Authority
CNT104213797,1,New,15-10-2012,14-10-2013,279300,279300,14,8,1,2,Unit,842.0,Flat,11.0,Studio,Residential,,,,395,Jabal Ali Industrial First,22.0,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,2.0,Authority
CNT100143316,1,New,11-01-2012,10-01-2013,23000,23000,1,1,0,2,Unit,903.0,Studio ,11.0,Studio,Residential,,,,367,Al Suq Al Kabeer,12.0,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,1.0,Person
CRT633240246,1,New,26-03-2017,25-03-2018,36000,36000,1,1,1,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,International City Phase 1,343,Al Warsan First,43.0,,Rashidiya Metro Station,City Centre Mirdif,2.0,Authority
CNT680567269,2,Renew,30-08-2017,29-08-2018,76125,76125,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,276,Al Bada,115.0,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,1.0,Person
CNT4459888,2,Renew,20-06-2012,19-06-2013,66000,66000,1,1,0,2,Unit,842.0,Flat,3.0,3 bed rooms+hall,Residential,,,,301,Al Nahda Second,333.0,Dubai International Airport,Al Nahda Metro Station,City Centre Mirdif,1.0,Person
CNT887110478,2,Renew,04-11-2018,03-11-2019,85000,85000,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,244,Al Murqabat,79.0,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,1.0,Person
CNT2082877451,2,Renew,01-01-2023,31-12-2023,47695,47695,1,1,0,0,Land,,,,,Industrial / Commercial,,,,322,Al Qusais Industrial Fourth,1086.0,Dubai International Airport,Airport Free Zone,City Centre Mirdif,1.0,Person
CNT1875166193,1,New,22-03-2022,21-03-2023,35000,35000,1,1,1,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,International City Phase 1,343,Al Warsan First,39.0,,Rashidiya Metro Station,City Centre Mirdif,2.0,Authority
CRT1900769126,2,Renew,26-04-2022,25-03-2023,160417,175000,1,1,1,4,Villa,841.0,Villa,4.0,4 bed rooms+hall,Residential,1406.0,ARABIAN RANCHES - RASHA COMMUNITY,Arabian Ranches II - RASHA,463,Wadi Al Safa 7,649.0,Motor City,,,1.0,Person
CNT862157788,2,Renew,05-10-2018,04-10-2019,87000,87000,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,388,Oud Metha,130.0,Dubai International Airport,Healthcare City Metro Station,Dubai Mall,1.0,Person
CNT384983886,2,Renew,23-12-2015,22-12-2016,35000,35000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,240,Port Saeed,25.0,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,2.0,Authority
CRT827800546,2,Renew,20-05-2018,19-05-2019,115000,115000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,Burj Khalifa,390,Burj Khalifa,70.0,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1.0,Person
CNT873655281,1,New,20-10-2018,19-10-2019,77000,77000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,129.0,SILVERENE,Dubai Marina,330,Marsa Dubai,57.0,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,1.0,Person
CNT221394549,2,Renew,25-06-2014,24-06-2015,170000,170000,1,1,0,4,Villa,841.0,Villa,4.0,4 bed rooms+hall,Residential,,,,313,Al Saffa First,318.0,Burj Khalifa,Business Bay Metro Station,Dubai Mall,1.0,Person
CNT124104859,1,New,29-03-2013,28-03-2014,43819,43702,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,244,Al Murqabat,154.0,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,1.0,Person
CRT205909136,1,New,15-04-2014,14-04-2015,60000,60000,1,1,1,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,975.0,REMRAAM,Remraam,451,Al Hebiah Fifth,72.0,Motor City,,,1.0,Person
